,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,blue_top_lane_first_tower,blue_mid_lane_first_tower,blue_bot_lane_first_tower,red_top_lane_first_tower,red_mid_lane_first_tower,red_bot_lane_first_tower,blue_earth_dragon,blue_air_dragon,blue_fire_dragon,blue_water_dragon,blue_elder_dragon,red_earth_dragon,red_air_dragon,red_fire_dragon,red_water_dragon,red_elder_dragon,blueWins
3182,28602,3862,46,9.2,377,74,0,10,8,13,45,20,1,0,1,0,0,1,0,0,0,1,23339,2604,44,8.8,313,73,0,8,10,13,289,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
11672,53260,4787,78,15.6,191,0,0,49,35,113,0,0,1,0,2,2,0,0,0,0,0,0,49783,2925,74,14.8,180,0,0,35,49,76,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4803,33150,1650,49,9.8,353,71,0,23,15,27,34,7,0,0,1,0,0,1,0,1,1,0,28083,3101,45,9.0,309,60,0,15,23,17,18,14,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4218,29890,1680,45,9.0,317,76,0,17,16,26,35,16,1,0,3,0,3,0,0,0,0,1,29538,4985,47,9.4,389,73,0,16,17,18,86,13,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5692,26279,4043,47,9.4,340,79,0,11,7,19,23,12,0,0,0,0,0,0,0,0,0,1,25062,3284,45,9.0,341,86,0,7,11,6,36,3,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25777,22663,2188,44,8.8,315,68,0,7,16,3,69,12,0,0,0,0,0,0,0,0,1,0,28189,3599,48,9.6,360,99,0,16,7,20,65,8,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12779,27570,3095,46,9.2,391,76,0,10,5,10,30,5,0,0,2,1,1,0,0,0,0,1,25897,2272,46,9.2,388,92,0,5,10,4,26,11,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9371,28953,2713,47,9.4,348,90,0,11,1,13,34,8,1,1,5,3,0,2,1,0,0,0,19087,2727,38,7.6,290,57,0,1,11,0,25,8,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
13591,26998,4333,45,9.0,314,69,0,14,13,13,52,9,0,0,0,0,0,0,0,1,1,0,28201,3611,46,9.2,356,89,0,13,14,16,30,14,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7378,26308,2507,45,9.0,272,67,0,10,31,8,21,5,1,0,2,0,2,0,0,0,0,1,34159,5539,53,10.6,318,79,0,31,10,35,25,6,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1754,29623,3685,46,9.2,355,51,0,15,18,24,40,11,0,0,2,1,1,0,0,0,0,1,28875,3435,46,9.2,331,48,0,18,15,21,30,13,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
24693,16827,4547,32,6.4,145,28,0,6,14,5,41,3,0,0,0,0,0,0,0,0,0,0,30109,4854,45,9.0,342,65,0,14,6,10,22,15,1,1,9,5,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10538,27680,2380,46,9.2,369,82,0,11,9,12,21,8,1,0,1,0,0,1,0,1,1,1,25941,2526,46,9.2,352,83,0,9,11,13,28,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
